alkanes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
,1.46,0.261,-0.427,-0.423,0.314,-0.537,,
C6Li6,1.42,0.285,-0.512,-0.498,0.319,-0.691,,
C2B8,1.5,0.234,-0.421,-0.388,0.337,-0.472,,
,,,,,,,,
TS,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
TS1,2.16,0.061,-0.064,-0.061,0.164,0.039,,
,2.41,0.04,-0.038,-0.024,0.116,0.054,,
TS2,2.3,0.048,-0.045,-0.04,0.135,0.05,,
,2.19,0.059,-0.06,-0.058,0.161,0.043,,
TS3,2.18,0.059,-0.062,-0.058,0.163,0.043,,
,2.38,0.041,-0.038,-0.033,0.119,0.049,,
TS4,2.33,0.046,-0.045,-0.038,0.13,0.047,,
,2.08,0.072,-0.082,-0.076,0.186,0.029,,
TS5,2.14,0.064,-0.068,-0.065,0.17,0.037,,
,2.4,0.041,-0.039,-0.025,0.117,0.053,,
TS6,1.92,0.099,-0.127,-0.121,0.235,-0.013,,
,2.63,0.027,-0.022,-0.013,0.084,0.049,,
TS7,1.98,0.089,-0.117,-0.096,0.217,0.004,,
TS8,2,0.087,-0.11,-0.099,0.214,0.005,,
TS9,2.04,0.073,-0.08,-0.078,0.19,0.032,,
TS10,2.13,0.068,-0.076,-0.071,0.188,0.041,,
TS11,2.21,0.057,-0.061,-0.053,0.152,0.038,,
TS12,2.15,0.065,-0.074,-0.065,0.169,0.03,,
TS13,2.01,0.08,-0.095,-0.09,0.209,0.024,,
TS14,1.95,0.102,-0.14,-0.128,0.244,-0.025,,
TS15,2.41,0.038,-0.033,-0.031,0.114,0.051,,
TS16,2.06,0.077,-0.096,-0.091,0.225,0.038,,
TS17,2.02,0.08,-0.095,-0.085,0.196,0.016,,
TS19,1.97,0.093,-0.118,-0.111,0.234,0.005,,
TS20,1.92,0.102,-0.135,-0.128,0.255,-0.008,,
TS21,2.45,0.036,-0.031,-0.028,0.114,0.054,,
TS22,2.21,0.06,-0.063,-0.06,0.166,0.043,,
,,,,,,,,
dimers,,,,,,,,
system,dcc ,r(r),lr1,lr2,lr3,Ñ2r,,
acetyleneBr_dimer,3.31,0.006,-0.004,-0.001,0.026,0.021,,
acetonitrile_dimer,3.25,0.007,-0.005,-0.002,0.029,0.023,,
diyneCN_dimer,3.39,0.005,-0.003,-0.001,0.02,0.016,,
,3.36,0.006,-0.003,-0.001,0.021,0.017,,
,3.36,0.006,-0.003,-0.001,0.021,0.017,,
,3.25,0.006,-0.004,-0.002,0.026,0.02,,
,3.25,0.006,-0.004,-0.002,0.026,0.02,,
acetylene_ dimer,3.3,0.006,-0.004,-0.001,0.027,0.022,,
vinylCl_ dimer,3.15,0.008,-0.005,-0.002,0.034,0.027,,
diyne_F_dimer,3.23,0.007,-0.004,-0.002,0.028,0.021,,
,3.27,0.007,-0.004,-0.001,0.026,0.021,,
C12 dimer,3.18,0.008,-0.005,-0.002,0.031,0.024,,
,3.19,0.008,-0.004,-0.001,0.029,0.024,,
diyne_CN_NMe2_dimer,3.4,0.006,-0.003,0,0.021,0.018,,
vinylF_dimer,3.06,0.008,-0.004,-0.003,0.035,0.028,,
dimethyl cynamide_dimer,3.08,0.009,-0.006,-0.001,0.04,0.033,,
thiacetone_dimer,3.51,0.004,0,0,0.014,0.013,,
diyne_CF3_dimer,3.39,0.005,-0.003,0,0.019,0.016,,
,3.37,0.006,-0.003,-0.002,0.021,0.016,,
diyne_dimer,3.41,0.006,-0.003,-0.001,0.022,0.017,,
C60_C2,2.95,0.013,-0.005,-0.003,0.057,0.048,,
,2.95,0.013,-0.005,-0.003,0.056,0.048,,
,2.95,0.013,-0.005,-0.003,0.055,0.047,,
,2.95,0.013,-0.005,-0.003,0.057,0.048,,
,2.96,0.013,-0.005,-0.003,0.055,0.047,,
,2.96,0.013,-0.005,-0.003,0.055,0.047,,
,2.96,0.013,-0.005,-0.003,0.055,0.047,,
,2.95,0.013,-0.005,-0.003,0.056,0.047,,
,2.95,0.013,-0.005,-0.003,0.057,0.048,,
,2.95,0.013,-0.005,-0.003,0.056,0.048,,
